[Gene ID],[source_id],[Genomic Location (Gene)],[Product Description],[NN Summary Score],[NN D-Score],[HMM Signal Probability],[Met Search Criteria]
PF3D7_0404400,PF3D7_0404400.1,"Pf3D7_04_v3:238,360..239,499(-)",6-cysteine protein,3,0.38,0,Y
PF3D7_0404700,PF3D7_0404700.1,"Pf3D7_04_v3:260,454..263,418(-)",dipeptidyl aminopeptidase 3,4,0.74,0.79,Y
PF3D7_0404800,PF3D7_0404800.1,"Pf3D7_04_v3:264,305..266,170(-)","conserved Plasmodium protein, unknown function",2,0.55,0.98,Y
PF3D7_0404900,PF3D7_0404900.1,"Pf3D7_04_v3:267,244..268,380(-)",6-cysteine protein,4,0.76,1,Y
PF3D7_0405300,PF3D7_0405300.1,"Pf3D7_04_v3:282,403..288,297(-)","liver specific protein 2, putative",3,0.57,0.06,Y
PF3D7_0405900,PF3D7_0405900.1,"Pf3D7_04_v3:316,540..319,178(-)",apical sushi protein,3,0.53,0.02,Y
PF3D7_0406200,PF3D7_0406200.1,"Pf3D7_04_v3:329,216..329,689(+)",sexual stage-specific protein precursor,4,0.91,1,Y
PF3D7_0407100,PF3D7_0407100.1,"Pf3D7_04_v3:362,301..363,442(+)","methyltransferase, putative",4,0.59,0.6,Y
PF3D7_0407200,PF3D7_0407200.1,"Pf3D7_04_v3:363,599..364,933(-)","peptidyl-tRNA hydrolase 2, putative",3,0.45,0,Y
PF3D7_0408600,PF3D7_0408600.1,"Pf3D7_04_v3:413,403..416,357(+)",sporozoite invasion-associated protein 1,4,0.81,1,Y
PF3D7_0408700,PF3D7_0408700.1,"Pf3D7_04_v3:417,372..420,824(-)",perforin-like protein 1,4,0.63,0.27,Y
PF3D7_0408800,PF3D7_0408800.1,"Pf3D7_04_v3:422,011..422,958(-)","conserved Plasmodium protein, unknown function",3,0.61,0.62,Y
PF3D7_0408900,PF3D7_0408900.1,"Pf3D7_04_v3:424,300..427,194(+)",tRNA N6-adenosine threonylcarbamoyltransferase,3,0.61,0.04,Y
PF3D7_0408900,PF3D7_0408900.2,"Pf3D7_04_v3:424,300..427,194(+)",tRNA N6-adenosine threonylcarbamoyltransferase,3,0.61,0.04,Y
PF3D7_0409000,PF3D7_0409000.1,"Pf3D7_04_v3:427,664..435,367(-)","conserved Plasmodium protein, unknown function",4,0.66,0.09,Y
PF3D7_0409700,PF3D7_0409700.1,"Pf3D7_04_v3:456,922..458,020(+)",peptide chain release factor 2,3,0.57,0.69,Y
PF3D7_0410700,PF3D7_0410700.1,"Pf3D7_04_v3:481,177..483,891(-)","ribosome biogenesis GTPase A, putative",4,0.8,0.86,Y
PF3D7_0411200,PF3D7_0411200.1,"Pf3D7_04_v3:505,933..509,670(-)","conserved Plasmodium protein, unknown function",4,0.79,0.86,Y
PF3D7_0411700,PF3D7_0411700.1,"Pf3D7_04_v3:518,685..519,101(-)","conserved Plasmodium protein, unknown function",3,0.52,0.25,Y
PF3D7_0412600,PF3D7_0412600.1,"Pf3D7_04_v3:559,387..560,638(-)","rifin, pseudogene",2,0.6,0.03,Y
PF3D7_0413200,PF3D7_0413200.1,"Pf3D7_04_v3:603,166..604,456(-)",rifin,3,0.55,0.47,Y
PF3D7_0413300,PF3D7_0413300.1,"Pf3D7_04_v3:609,155..610,433(+)",rifin,3,0.63,0.86,Y
PF3D7_0413800,PF3D7_0413800.1,"Pf3D7_04_v3:622,094..622,936(+)","50S ribosomal protein L10, putative",2,0.51,0.01,Y
PF3D7_0414100,PF3D7_0414100.1,"Pf3D7_04_v3:634,029..638,905(-)","conserved Plasmodium membrane protein, unknown function",4,0.7,0.6,Y
PF3D7_0414700,PF3D7_0414700.1,"Pf3D7_04_v3:660,624..662,519(+)","GTP-binding protein, putative",3,0.58,0.15,Y
PF3D7_0415700,PF3D7_0415700.1,"Pf3D7_04_v3:691,131..692,516(-)","conserved Plasmodium protein, unknown function",4,0.62,0.01,Y
PF3D7_0416100,PF3D7_0416100.1,"Pf3D7_04_v3:706,529..709,009(+)",glutamyl-tRNA(Gln) amidotransferase subunit A,3,0.51,0,Y
PF3D7_0417000,PF3D7_0417000.1,"Pf3D7_04_v3:742,149..743,091(+)","conserved Plasmodium protein, unknown function",2,0.55,0.26,Y
PF3D7_0418800,PF3D7_0418800.1,"Pf3D7_04_v3:843,562..845,169(+)","MOLO1 domain-containing protein, putative",4,0.72,0.99,Y
PF3D7_0419200,PF3D7_0419200.1,"Pf3D7_04_v3:854,879..855,289(+)","protein transport protein GOT1, putative",4,0.65,0.11,Y
PF3D7_0419400,PF3D7_0419400.1,"Pf3D7_04_v3:857,998..865,957(+)","conserved Plasmodium protein, unknown function",4,0.79,0.94,Y
PF3D7_0419700,PF3D7_0419700.1,"Pf3D7_04_v3:873,138..874,115(+)",apical merozoite protein,4,0.66,0.58,Y
PF3D7_0421200,PF3D7_0421200.1,"Pf3D7_04_v3:967,087..968,273(+)",rifin,4,0.76,0.57,Y
PF3D7_0421900,PF3D7_0421900.1,"Pf3D7_04_v3:997,240..997,455(+)","conserved Plasmodium protein, unknown function",3,0.65,0.45,Y
PF3D7_0422000,PF3D7_0422000.1,"Pf3D7_04_v3:998,647..1,000,185(+)","steroid dehydrogenase, putative",4,0.69,0.16,Y
PF3D7_0422100,PF3D7_0422100.1,"Pf3D7_04_v3:1,001,613..1,002,770(+)","transmembrane emp24 domain-containing protein, putative",4,0.82,0.89,Y
PF3D7_0422800,PF3D7_0422800.1,"Pf3D7_04_v3:1,042,564..1,044,896(+)","serpentine receptor, putative",2,0.5,0,Y
PF3D7_0423300,PF3D7_0423300.1,"Pf3D7_04_v3:1,051,576..1,053,006(-)","conserved Plasmodium protein, unknown function",3,0.52,0,Y
PF3D7_0423400,PF3D7_0423400.1,"Pf3D7_04_v3:1,055,665..1,056,318(+)",apical asparagine-rich protein AARP,4,0.66,0.24,Y
PF3D7_0423700,PF3D7_0423700.1,"Pf3D7_04_v3:1,071,435..1,071,845(-)",early transcribed membrane protein 4,4,0.65,0.83,Y
PF3D7_0423800,PF3D7_0423800.1,"Pf3D7_04_v3:1,076,347..1,077,534(+)",cysteine-rich protective antigen,4,0.8,0.88,Y
PF3D7_0424000,PF3D7_0424000.1,"Pf3D7_04_v3:1,080,959..1,082,189(+)","Plasmodium exported protein (PHISTc), unknown function",3,0.63,0,Y
PF3D7_0424100,PF3D7_0424100.1,"Pf3D7_04_v3:1,082,363..1,084,150(-)",reticulocyte binding protein homologue 5,2,0.54,0.02,Y
PF3D7_0424200,PF3D7_0424200.1,"Pf3D7_04_v3:1,085,979..1,091,277(-)",reticulocyte binding protein homologue 4,4,0.82,0.68,Y
PF3D7_0424300,PF3D7_0424300.1,"Pf3D7_04_v3:1,093,138..1,097,835(+)","erythrocyte binding antigen-165, pseudogene",4,0.73,0.93,Y
PF3D7_0425000,PF3D7_0425000.1,"Pf3D7_04_v3:1,129,660..1,130,893(-)","Plasmodium exported protein, unknown function, pseudogene",4,0.69,0.26,Y
PF3D7_0425100,PF3D7_0425100.1,"Pf3D7_04_v3:1,134,415..1,135,175(-)","Plasmodium exported protein (hyp6), unknown function",2,0.6,0.29,Y
PF3D7_0425200,PF3D7_0425200.1,"Pf3D7_04_v3:1,136,586..1,137,385(+)","Plasmodium exported protein (hyp15), unknown function",4,0.85,0.99,Y
PF3D7_0425300,PF3D7_0425300.1,"Pf3D7_04_v3:1,141,222..1,142,096(+)","Plasmodium exported protein (PHISTa), unknown function, pseudogene",2,0.57,0.06,Y
PF3D7_0425500,PF3D7_0425500.1,"Pf3D7_04_v3:1,146,672..1,147,697(-)",stevor,4,0.64,0.92,Y
PF3D7_0500200,PF3D7_0500200.1,"Pf3D7_05_v3:29,233..29,304(-)","erythrocyte membrane protein 1 (PfEMP1), pseudogene",3,0.6,0.73,Y
PF3D7_0500300,PF3D7_0500300.1,"Pf3D7_05_v3:29,776..30,963(-)","rifin, pseudogene",3,0.68,0.56,Y
PF3D7_0500500,PF3D7_0500500.1,"Pf3D7_05_v3:36,464..37,564(-)",rifin,2,0.57,0.65,Y
PF3D7_0500600,PF3D7_0500600.1,"Pf3D7_05_v3:39,443..40,488(-)","stevor, pseudogene",3,0.53,0.13,Y
PF3D7_0501200,PF3D7_0501200.1,"Pf3D7_05_v3:64,065..65,489(+)",parasite-infected erythrocyte surface protein,4,0.76,0.99,Y
PF3D7_0501500,PF3D7_0501500.1,"Pf3D7_05_v3:81,134..82,336(-)",rhoptry-associated protein 3,4,0.88,1,Y
PF3D7_0501600,PF3D7_0501600.1,"Pf3D7_05_v3:84,041..85,237(-)",rhoptry-associated protein 2,4,0.89,0.99,Y
PF3D7_0502400,PF3D7_0502400.1,"Pf3D7_05_v3:109,898..111,691(-)",merozoite surface protein 8,4,0.92,0.86,Y
PF3D7_0502500,PF3D7_0502500.1,"Pf3D7_05_v3:114,149..115,933(+)","conserved Plasmodium protein, unknown function",4,0.76,0.84,Y
PF3D7_0503100,PF3D7_0503100.1,"Pf3D7_05_v3:127,064..128,677(-)","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative",2,0.52,0.06,Y
PF3D7_0504200,PF3D7_0504200.1,"Pf3D7_05_v3:167,649..169,502(+)","ATP-dependent RNA helicase DDX27, putative",4,0.92,0.99,Y
PF3D7_0504500,PF3D7_0504500.1,"Pf3D7_05_v3:174,989..176,433(+)","MOLO1 domain-containing protein, putative",3,0.64,0.99,Y
PF3D7_0505400,PF3D7_0505400.1,"Pf3D7_05_v3:236,143..238,365(-)","conserved Plasmodium protein, unknown function",3,0.65,0.25,Y
PF3D7_0505700,PF3D7_0505700.1,"Pf3D7_05_v3:247,801..250,575(-)","conserved Plasmodium membrane protein, unknown function",4,0.8,0.89,Y
PF3D7_0506400,PF3D7_0506400.1,"Pf3D7_05_v3:262,672..263,925(-)","conserved Plasmodium protein, unknown function",4,0.82,0.36,Y
PF3D7_0507300,PF3D7_0507300.1,"Pf3D7_05_v3:301,930..304,611(-)","PIMMS2 protein, putative",2,0.56,0.01,Y
PF3D7_0507400,PF3D7_0507400.1,"Pf3D7_05_v3:305,961..306,422(-)","conserved Plasmodium protein, unknown function",4,0.71,0.78,Y
PF3D7_0507500,PF3D7_0507500.1,"Pf3D7_05_v3:307,490..309,556(-)",subtilisin-like protease 1,4,0.76,0.88,Y
PF3D7_0508000,PF3D7_0508000.1,"Pf3D7_05_v3:328,666..329,715(-)",6-cysteine protein,4,0.83,0.83,Y
PF3D7_0508200,PF3D7_0508200.1,"Pf3D7_05_v3:337,426..339,025(-)","longevity-assurance (LAG1) protein, putative",3,0.69,0.56,Y
PF3D7_0508800,PF3D7_0508800.1,"Pf3D7_05_v3:363,588..364,442(-)",single-stranded DNA-binding protein,4,0.7,0.82,Y
PF3D7_0509600,PF3D7_0509600.1,"Pf3D7_05_v3:403,342..405,642(+)",asparagine--tRNA ligase,4,0.81,0.49,Y
PF3D7_0511100,PF3D7_0511100.1,"Pf3D7_05_v3:469,276..469,842(+)","conserved Plasmodium protein, unknown function",4,0.63,0.83,Y
PF3D7_0511400,PF3D7_0511400.1,"Pf3D7_05_v3:481,423..482,568(+)","conserved Plasmodium protein, unknown function",3,0.7,0.79,Y
PF3D7_0511600,PF3D7_0511600.1,"Pf3D7_05_v3:517,259..517,885(-)",apical rhoptry neck protein,4,0.78,0.84,Y
PF3D7_0513000,PF3D7_0513000.1,"Pf3D7_05_v3:555,264..556,073(+)","conserved Plasmodium protein, unknown function",4,0.66,0.81,Y
PF3D7_0513500,PF3D7_0513500.1,"Pf3D7_05_v3:573,588..574,248(+)","mitochondrial import inner membrane translocase subunit TIM16, putative",4,0.67,0.91,Y
PF3D7_0513700,PF3D7_0513700.1,"Pf3D7_05_v3:581,227..584,124(+)","secreted ookinete protein, putative",4,0.59,0.66,Y
PF3D7_0514200,PF3D7_0514200.1,"Pf3D7_05_v3:596,818..599,421(+)","conserved Plasmodium protein, unknown function",3,0.63,0.94,Y
PF3D7_0514300,PF3D7_0514300.1,"Pf3D7_05_v3:600,047..603,433(+)","aspartate--tRNA ligase, putative",3,0.61,0.06,Y
PF3D7_0516300,PF3D7_0516300.1,"Pf3D7_05_v3:678,910..680,955(+)","tRNA pseudouridine synthase, putative",4,0.85,0.87,Y
PF3D7_0516600,PF3D7_0516600.1,"Pf3D7_05_v3:686,810..691,642(-)",sporozoite surface antigen MB2,4,0.75,0.81,Y
PF3D7_0517100,PF3D7_0517100.1,"Pf3D7_05_v3:718,425..719,855(-)","conserved Plasmodium protein, unknown function",3,0.54,0.1,Y
PF3D7_0518100,PF3D7_0518100.1,"Pf3D7_05_v3:753,298..757,544(+)","RAP protein, putative",3,0.59,0.01,Y
PF3D7_0518800,PF3D7_0518800.1,"Pf3D7_05_v3:783,638..784,991(-)","secreted ookinete protein, putative",4,0.82,0.99,Y
PF3D7_0519900,PF3D7_0519900.1,"Pf3D7_05_v3:825,835..827,412(-)","conserved Plasmodium protein, unknown function",4,0.64,0.07,Y
PF3D7_0520800,PF3D7_0520800.1,"Pf3D7_05_v3:849,862..856,026(-)","conserved Plasmodium protein, unknown function",4,0.61,0,Y
PF3D7_0521400,PF3D7_0521400.1,"Pf3D7_05_v3:875,873..877,561(-)","conserved Plasmodium protein, unknown function",4,0.89,0.99,Y
PF3D7_0522500,PF3D7_0522500.1,"Pf3D7_05_v3:937,231..938,037(+)","50S ribosomal protein L17, apicoplast, putative",3,0.7,0.55,Y
PF3D7_0522600,PF3D7_0522600.1,"Pf3D7_05_v3:940,249..941,700(+)",inner membrane complex protein,4,0.56,0.04,Y
PF3D7_0522700,PF3D7_0522700.1,"Pf3D7_05_v3:942,767..943,873(+)",iron-sulfur assembly protein,4,0.91,1,Y
PF3D7_0525700,PF3D7_0525700.1,"Pf3D7_05_v3:1,068,516..1,069,285(+)","conserved Plasmodium protein, unknown function",4,0.92,1,Y
PF3D7_0526100,PF3D7_0526100.1,"Pf3D7_05_v3:1,079,779..1,081,008(+)","conserved Plasmodium membrane protein, unknown function",4,0.82,0.02,Y
PF3D7_0526700,PF3D7_0526700.1,"Pf3D7_05_v3:1,117,261..1,119,651(-)","conserved protein, unknown function",4,0.62,0.02,Y
PF3D7_0526900,PF3D7_0526900.1,"Pf3D7_05_v3:1,123,610..1,124,595(+)","transmembrane emp24 domain-containing protein, putative",4,0.91,1,Y
PF3D7_0528900,PF3D7_0528900.1,"Pf3D7_05_v3:1,183,916..1,185,639(-)","conserved Plasmodium protein, unknown function",3,0.63,0.87,Y
PF3D7_0529000,PF3D7_0529000.1,"Pf3D7_05_v3:1,186,787..1,188,946(-)","conserved Plasmodium protein, unknown function",2,0.53,0.03,Y
PF3D7_0529100,PF3D7_0529100.1,"Pf3D7_05_v3:1,191,000..1,191,682(-)","thioredoxin-like protein, putative",4,0.83,0.44,Y
PF3D7_0529300,PF3D7_0529300.1,"Pf3D7_05_v3:1,196,315..1,197,389(+)",apicoplast TIC22 protein,4,0.8,0.99,Y
PF3D7_0530200,PF3D7_0530200.1,"Pf3D7_05_v3:1,229,077..1,230,651(-)",phosphoenolpyruvate/phosphate translocator,3,0.58,0.06,Y
PF3D7_0530300,PF3D7_0530300.1,"Pf3D7_05_v3:1,233,401..1,238,086(+)","conserved Plasmodium membrane protein, unknown function",3,0.66,0.02,Y
PF3D7_0530500,PF3D7_0530500.1,"Pf3D7_05_v3:1,244,751..1,248,359(+)","conserved Plasmodium membrane protein, unknown function",4,0.81,0.75,Y
PF3D7_0530750,PF3D7_0530750.1,"Pf3D7_05_v3:1,254,282..1,254,796(-)","dolichol-phosphate mannosyltransferase subunit 3, putative",2,0.6,0.01,Y
PF3D7_0530800,PF3D7_0530800.1,"Pf3D7_05_v3:1,255,221..1,257,254(+)",CPW-WPC family protein,4,0.75,0.99,Y
PF3D7_0532100,PF3D7_0532100.1,"Pf3D7_05_v3:1,301,224..1,301,769(+)",early transcribed membrane protein 5,4,0.67,0.99,Y
PF3D7_0532200,PF3D7_0532200.1,"Pf3D7_05_v3:1,303,662..1,304,526(-)","Plasmodium exported protein (PHISTc), unknown function",2,0.53,0.03,Y
PF3D7_0532600,PF3D7_0532600.1,"Pf3D7_05_v3:1,318,531..1,319,229(-)","Plasmodium exported protein, unknown function",3,0.57,0.03,Y
PF3D7_0532900,PF3D7_0532900.1,"Pf3D7_05_v3:1,326,245..1,327,429(+)",rifin,4,0.75,0.95,Y
PF3D7_0533000,PF3D7_0533000.1,"Pf3D7_05_v3:1,329,555..1,330,808(+)","rifin, pseudogene",4,0.65,0.39,Y
PF3D7_0600500,PF3D7_0600500.1,"Pf3D7_06_v3:26,557..27,830(+)",rifin,4,0.53,0.25,Y
PF3D7_0600600,PF3D7_0600600.1,"Pf3D7_06_v3:29,618..31,484(-)","erythrocyte membrane protein 1 (PfEMP1), exon 2",3,0.62,0.85,Y
PF3D7_0600800,PF3D7_0600800.1,"Pf3D7_06_v3:35,355..36,595(-)","rifin, pseudogene",2,0.53,0.54,Y
PF3D7_0600900,PF3D7_0600900.1,"Pf3D7_06_v3:38,721..39,781(-)","rifin, pseudogene",4,0.74,0.48,Y
PF3D7_0601000,PF3D7_0601000.1,"Pf3D7_06_v3:42,097..43,218(-)",exported protein family 4,4,0.69,0.01,Y
PF3D7_0601100,PF3D7_0601100.1,"Pf3D7_06_v3:44,450..45,216(+)",exported protein family 3,4,0.66,0.14,Y
PF3D7_0601200,PF3D7_0601200.1,"Pf3D7_06_v3:47,463..48,261(+)",Pfmc-2TM Maurer's cleft two transmembrane protein,3,0.59,0.02,Y
PF3D7_0601300,PF3D7_0601300.1,"Pf3D7_06_v3:48,874..49,722(-)",exported protein family 1,3,0.65,0.18,Y
PF3D7_0602300,PF3D7_0602300.1,"Pf3D7_06_v3:99,781..100,725(+)","liver merozoite formation protein, putative",4,0.75,0.24,Y
PF3D7_0602400,PF3D7_0602400.1,"Pf3D7_06_v3:101,385..104,561(-)",elongation factor G,4,0.67,0.28,Y
PF3D7_0604400,PF3D7_0604400.1,"Pf3D7_06_v3:184,892..185,843(+)","conserved Plasmodium protein, unknown function",4,0.75,0.87,Y
PF3D7_0604700,PF3D7_0604700.1,"Pf3D7_06_v3:204,640..206,207(-)",glyoxalase I-like protein GILP,4,0.72,0.96,Y
PF3D7_0606800,PF3D7_0606800.1,"Pf3D7_06_v3:288,377..289,276(-)",VFT protein,3,0.67,0.41,Y
PF3D7_0607300,PF3D7_0607300.1,"Pf3D7_06_v3:304,638..306,042(+)",uroporphyrinogen III decarboxylase,2,0.59,0.88,Y
PF3D7_0608100,PF3D7_0608100.1,"Pf3D7_06_v3:337,792..341,760(+)","conserved Plasmodium protein, unknown function",4,0.79,0.99,Y
PF3D7_0609100,PF3D7_0609100.1,"Pf3D7_06_v3:388,915..390,748(-)","zinc transporter ZIP1, putative",4,0.74,0.14,Y
PF3D7_0609500,PF3D7_0609500.1,"Pf3D7_06_v3:402,722..407,242(+)","conserved Plasmodium protein, unknown function",4,0.8,1,Y
PF3D7_0611100,PF3D7_0611100.1,"Pf3D7_06_v3:466,198..466,449(-)","succinate dehydrogenase subunit 3, putative",3,0.6,0.78,Y
PF3D7_0612300,PF3D7_0612300.1,"Pf3D7_06_v3:520,751..521,107(+)","transmembrane protein 234, putative",4,0.93,0.99,Y
PF3D7_0612700,PF3D7_0612700.1,"Pf3D7_06_v3:525,987..527,030(-)",6-cysteine protein,4,0.83,0.8,Y
PF3D7_0612800,PF3D7_0612800.1,"Pf3D7_06_v3:528,060..529,175(-)",6-cysteine protein,4,0.86,0.98,Y
PF3D7_0613100,PF3D7_0613100.1,"Pf3D7_06_v3:537,778..538,585(+)","conserved Plasmodium protein, unknown function",4,0.77,0.26,Y
PF3D7_0613200,PF3D7_0613200.1,"Pf3D7_06_v3:539,304..539,674(+)","conserved Plasmodium protein, unknown function",3,0.64,0.6,Y
PF3D7_0613400,PF3D7_0613400.1,"Pf3D7_06_v3:546,964..547,741(+)","50S ribosomal protein L18, apicoplast, putative",4,0.7,0.06,Y
PF3D7_0615100,PF3D7_0615100.1,"Pf3D7_06_v3:623,023..624,321(-)",enoyl-acyl carrier reductase,2,0.54,0.06,Y
PF3D7_0616400,PF3D7_0616400.1,"Pf3D7_06_v3:678,387..683,429(+)","conserved Plasmodium protein, unknown function",3,0.67,0.75,Y
PF3D7_0616500,PF3D7_0616500.1,"Pf3D7_06_v3:684,742..688,857(+)",TRAP-like protein,4,0.82,0.96,Y
PF3D7_0617600,PF3D7_0617600.1,"Pf3D7_06_v3:738,259..739,265(-)",stevor,3,0.64,0.2,Y
PF3D7_0617700,PF3D7_0617700.1,"Pf3D7_06_v3:741,269..742,406(-)",rifin,3,0.66,0.96,Y
PF3D7_0618400,PF3D7_0618400.1,"Pf3D7_06_v3:770,147..772,506(-)","conserved Plasmodium membrane protein, unknown function",4,0.74,0.5,Y
PF3D7_0619100,PF3D7_0619100.1,"Pf3D7_06_v3:797,211..798,518(+)","conserved Plasmodium protein, unknown function",3,0.64,0.75,Y
PF3D7_0620000,PF3D7_0620000.1,"Pf3D7_06_v3:841,846..843,363(-)","secreted ookinete protein 25, putative",4,0.9,1,Y
PF3D7_0620200,PF3D7_0620200.1,"Pf3D7_06_v3:846,523..847,494(-)","conserved Plasmodium protein, unknown function",3,0.57,0,Y
PF3D7_0620400,PF3D7_0620400.1,"Pf3D7_06_v3:851,378..852,955(-)",merozoite surface protein 10,4,0.82,0.81,Y
PF3D7_0621350,PF3D7_0621350.1,"Pf3D7_06_v3:876,679..877,298(-)","protein SYS1, putative",4,0.6,0.04,Y
PF3D7_0622000,PF3D7_0622000.1,"Pf3D7_06_v3:896,989..897,968(+)","conserved Plasmodium protein, unknown function",4,0.83,0.97,Y
PF3D7_0622200,PF3D7_0622200.1,"Pf3D7_06_v3:903,740..906,322(-)","radical SAM protein, putative",3,0.54,0.37,Y
PF3D7_0622700,PF3D7_0622700.1,"Pf3D7_06_v3:916,000..917,299(-)","conserved Plasmodium membrane protein, unknown function",4,0.71,0.95,Y
PF3D7_0623200,PF3D7_0623200.1,"Pf3D7_06_v3:946,129..947,244(+)",ferredoxin--NADP reductase,4,0.84,0.98,Y
PF3D7_0623300,PF3D7_0623300.1,"Pf3D7_06_v3:947,493..948,644(-)","EGF-like membrane protein, putative",3,0.63,0.06,Y
PF3D7_0623500,PF3D7_0623500.1,"Pf3D7_06_v3:952,906..954,848(-)",superoxide dismutase [Fe],4,0.65,0.71,Y
PF3D7_0624300,PF3D7_0624300.1,"Pf3D7_06_v3:987,808..989,636(+)",CPW-WPC family protein,4,0.77,0.99,Y
PF3D7_0624400,PF3D7_0624400.1,"Pf3D7_06_v3:990,375..992,198(-)","conserved Plasmodium protein, unknown function",3,0.63,0.74,Y
PF3D7_0624700,PF3D7_0624700.1,"Pf3D7_06_v3:1,009,457..1,010,718(-)","N-acetylglucosaminylphosphatidylinositol deacetylase, putative",2,0.57,0,Y
PF3D7_0624800,PF3D7_0624800.1,"Pf3D7_06_v3:1,011,429..1,014,569(-)","conserved Plasmodium protein, unknown function",4,0.77,0.98,Y
PF3D7_0625400,PF3D7_0625400.1,"Pf3D7_06_v3:1,032,536..1,033,774(-)","conserved Plasmodium protein, unknown function",3,0.67,0.98,Y
PF3D7_0626300,PF3D7_0626300.1,"Pf3D7_06_v3:1,061,115..1,062,891(-)",3-oxoacyl-acyl-carrier protein synthase I/II,4,0.77,0.07,Y
PF3D7_0626600,PF3D7_0626600.1,"Pf3D7_06_v3:1,073,458..1,073,895(-)","conserved Plasmodium protein, unknown function",3,0.49,0.04,Y
PF3D7_0628800,PF3D7_0628800.1,"Pf3D7_06_v3:1,185,996..1,188,644(-)",glutamyl-tRNA(Gln) amidotransferase subunit B,2,0.56,0.03,Y
PF3D7_0629200,PF3D7_0629200.1,"Pf3D7_06_v3:1,199,853..1,200,995(-)","DnaJ protein, putative",2,0.58,0.25,Y
PF3D7_0629300,PF3D7_0629300.1,"Pf3D7_06_v3:1,205,190..1,207,781(+)","phospholipase, putative",3,0.62,0.96,Y
PF3D7_0630000,PF3D7_0630000.1,"Pf3D7_06_v3:1,252,052..1,253,985(-)",CPW-WPC family protein,4,0.87,0.96,Y
PF3D7_0630200,PF3D7_0630200.1,"Pf3D7_06_v3:1,258,880..1,259,939(+)","secreted ookinete protein, putative",2,0.53,0.15,Y
PF3D7_0630400,PF3D7_0630400.1,"Pf3D7_06_v3:1,272,363..1,273,532(-)","conserved Plasmodium protein, unknown function",3,0.62,0.17,Y
PF3D7_0631300,PF3D7_0631300.1,"Pf3D7_06_v3:1,316,873..1,317,721(+)",exported protein family 1,3,0.65,0.18,Y
PF3D7_0631400,PF3D7_0631400.1,"Pf3D7_06_v3:1,318,327..1,319,116(-)",Pfmc-2TM Maurer's cleft two transmembrane protein,2,0.58,0.02,Y
PF3D7_0631500,PF3D7_0631500.1,"Pf3D7_06_v3:1,321,320..1,322,094(-)",exported protein family 3,4,0.67,0.14,Y
PF3D7_0631600,PF3D7_0631600.1,"Pf3D7_06_v3:1,323,294..1,324,435(+)",exported protein family 4,4,0.69,0.01,Y
PF3D7_0631700,PF3D7_0631700.1,"Pf3D7_06_v3:1,326,737..1,327,918(+)","rifin, pseudogene",4,0.77,0.86,Y
PF3D7_0631800,PF3D7_0631800.1,"Pf3D7_06_v3:1,329,771..1,330,963(+)",rifin,4,0.73,0.67,Y
PF3D7_0631900,PF3D7_0631900.1,"Pf3D7_06_v3:1,333,013..1,334,035(+)",stevor,3,0.64,0.2,Y
PF3D7_0632000,PF3D7_0632000.1,"Pf3D7_06_v3:1,336,146..1,337,473(+)",rifin,3,0.54,0.47,Y
PF3D7_0632300,PF3D7_0632300.1,"Pf3D7_06_v3:1,347,341..1,348,571(+)",rifin,4,0.78,0.95,Y
PF3D7_0632600,PF3D7_0632600.1,"Pf3D7_06_v3:1,367,912..1,369,107(+)","rifin, pseudogene",4,0.76,0.57,Y
PF3D7_0700200,PF3D7_0700200.1,"Pf3D7_07_v3:30,097..31,269(+)",rifin,2,0.5,0.04,Y
PF3D7_0700300,PF3D7_0700300.1,"Pf3D7_07_v3:33,585..34,804(-)",rifin,3,0.55,0.54,Y
PF3D7_0700400,PF3D7_0700400.1,"Pf3D7_07_v3:36,922..37,927(-)",stevor,4,0.72,0.15,Y
PF3D7_0700500,PF3D7_0700500.1,"Pf3D7_07_v3:40,288..41,453(-)",rifin,3,0.7,0.98,Y
PF3D7_0700700,PF3D7_0700700.1,"Pf3D7_07_v3:45,559..46,607(+)","stevor, pseudogene",3,0.64,0.02,Y
PF3D7_0700800,PF3D7_0700800.1,"Pf3D7_07_v3:48,300..49,106(+)",Pfmc-2TM Maurer's cleft two transmembrane protein,3,0.59,0.03,Y
PF3D7_0701200,PF3D7_0701200.1,"Pf3D7_07_v3:59,277..60,366(-)","rifin, pseudogene",4,0.72,0.67,Y
PF3D7_0701300,PF3D7_0701300.1,"Pf3D7_07_v3:62,220..63,401(-)","rifin, pseudogene",4,0.77,0.86,Y
PF3D7_0701400,PF3D7_0701400.1,"Pf3D7_07_v3:65,718..66,854(-)","exported protein family 4, pseudogene",4,0.69,0.01,Y
PF3D7_0701500,PF3D7_0701500.1,"Pf3D7_07_v3:68,066..68,840(+)",exported protein family 3,4,0.67,0.14,Y
PF3D7_0701600,PF3D7_0701600.1,"Pf3D7_07_v3:71,049..71,860(+)",Pfmc-2TM Maurer's cleft two transmembrane protein,2,0.57,0.02,Y
PF3D7_0701700,PF3D7_0701700.1,"Pf3D7_07_v3:72,477..73,325(-)",exported protein family 1,3,0.65,0.18,Y
PF3D7_0701800,PF3D7_0701800.1,"Pf3D7_07_v3:75,918..77,055(-)",rifin,2,0.52,0.03,Y
