Gene_ID,Cas9_Status,Cas9_LHR,Cas9_gBlock,Cas9_RHR,Cas9_gRNA,Cas9_gBlock_size,Cpf1_Status,Cpf1_LHR,Cpf1_gBlock,Cpf1_RHR,Cpf1_gRNA,Cpf1_gBlock_size,Enzyme_recommended
PF3D7_0616800.1,Success,Success,Success,Success,Success,150,Success,Success,Success,Success,Success,163,Cas9
PF3D7_1220500.1,Success,Success,Success,Success,Success,415,Success,Success,Success,Success,Success,415,Either
PF3D7_0816600.1,Warning,Success,Success,Success,Warning,509,Success,Success,Success,Success,Success,442,Cpf1
PF3D7_0304200.1,Success,Success,Success,Success,Success,116,Success,Success,Success,Success,Success,386,Cas9
PF3D7_1361100.1,Success,Success,Success,Success,Success,73,Success,Success,Success,Success,Success,112,Cas9
PF3D7_1239200.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,125,Either
PF3D7_0810000.1,Success,Success,Success,Success,Success,197,Warning,Warning,Success,Success,Success,270,Cas9
PF3D7_0425100.1,Warning,Success,Success,Success,Warning,386,Success,Success,Success,Success,Success,261,Cpf1
PF3D7_1458300.1,Success,Success,Success,Success,Success,129,Success,Success,Success,Success,Success,129,Either
PF3D7_1403400.1,Warning,Success,Success,Warning,Success,161,Warning,Success,Success,Warning,Warning,116,Cas9
PF3D7_0705200.1,Warning,Success,Success,Success,Warning,455,Warning,Success,Success,Success,Warning,208,Cpf1
PF3D7_1471000.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,295,Cas9
PF3D7_0929700.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,281,Cpf1
PF3D7_1205200.1,Success,Success,Success,Success,Success,113,Success,Success,Success,Success,Success,268,Cas9
PF3D7_1105000.1,Success,Success,Success,Success,Success,206,Success,Success,Success,Success,Success,179,Cpf1
PF3D7_1134700.1,Success,Success,Success,Success,Success,361,Success,Success,Success,Success,Success,390,Cas9
PF3D7_0937800.1,Warning,Success,Success,Success,Warning,455,Success,Success,Success,Success,Success,395,Cpf1
PF3D7_1208300.1,Success,Success,Success,Success,Success,170,Success,Success,Success,Success,Success,279,Cas9
PF3D7_1036600.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,287,Cpf1
PF3D7_1036600.2,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,287,Cpf1
PF3D7_0114300.1,Warning,Success,Success,Warning,Success,238,Warning,Success,Success,Warning,Success,337,Cas9
PF3D7_0402600.1,Success,Success,Success,Success,Success,193,Success,Success,Success,Success,Success,276,Cas9
PF3D7_1244600.1,Success,Success,Success,Success,Success,349,Success,Success,Success,Success,Success,347,Cpf1
PF3D7_1209200.1,Success,Success,Success,Success,Success,209,Success,Success,Success,Success,Success,66,Cpf1
PF3D7_0802500.1,Success,Success,Success,Success,Success,163,Success,Success,Success,Success,Success,352,Cas9
PF3D7_0102600.1,Success,Success,Success,Success,Success,78,Success,Success,Success,Success,Success,175,Cas9
PF3D7_1430200.1,Success,Success,Success,Success,Success,188,Success,Success,Success,Success,Success,136,Cpf1
PF3D7_0808300.1,Success,Success,Success,Success,Success,366,Success,Success,Success,Success,Success,311,Cpf1
PF3D7_1311700.1,Warning,Success,Warning,Success,Success,4,Success,Success,Success,Success,Success,135,Cpf1
PF3D7_1210300.1,Warning,Success,Success,Success,Warning,357,Success,Success,Success,Success,Success,125,Cpf1
PF3D7_1424300_p,Success,Success,Success,Success,Success,93,Warning,Warning,Warning,Success,Warning,93,Cas9
PF3D7_0323900.1,Success,Success,Success,Success,Success,189,Success,Success,Success,Success,Success,413,Cas9
PF3D7_0933600.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,145,Either
PF3D7_1206900.1,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_1470200.1,Success,Success,Success,Success,Success,13,Success,Success,Success,Success,Success,13,Either
PF3D7_0510000.1,Warning,Success,Success,Success,Warning,194,Success,Success,Success,Success,Success,107,Cpf1
PF3D7_0903500.1,Warning,Success,Success,Success,Warning,317,Success,Success,Success,Success,Success,317,Cpf1
PF3D7_1354600.1,Warning,Success,Success,Success,Warning,185,Success,Success,Success,Success,Success,232,Cpf1
PF3D7_1421600.1,Success,Success,Success,Success,Success,141,Success,Success,Success,Success,Success,211,Cas9
PF3D7_0514200.1,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_1239900.1,Success,Success,Success,Success,Success,274,Success,Success,Success,Success,Success,201,Cpf1
PF3D7_0407400.1,Success,Success,Success,Success,Success,228,Warning,Warning,Warning,Success,Success,306,Cas9
PF3D7_0412900.1,Warning,Success,Success,Success,Warning,495,Success,Success,Success,Success,Success,326,Cpf1
PF3D7_0523800.1,Success,Success,Success,Success,Success,278,Success,Success,Success,Success,Success,502,Cas9
PF3D7_1120200.1,Success,Success,Success,Success,Success,169,Success,Success,Success,Success,Success,103,Cpf1
PF3D7_0115500.1,Warning,Success,Success,Success,Warning,446,Success,Success,Success,Success,Success,244,Cpf1
PF3D7_1218100.1,Success,Success,Success,Success,Success,52,Error,-,-,-,Error,0,Cas9
PF3D7_0406700.1,Success,Success,Success,Success,Success,183,Success,Success,Success,Success,Success,118,Cpf1
PF3D7_1334700.1,Success,Success,Success,Success,Success,129,Success,Success,Success,Success,Success,195,Cas9
PF3D7_0418300.1,Success,Success,Success,Success,Success,162,Success,Success,Success,Success,Success,130,Cpf1
PF3D7_1228200.1,Success,Success,Success,Success,Success,200,Error,-,-,-,Error,0,Cas9
PF3D7_0711200.1,Success,Success,Success,Success,Success,266,Warning,Success,Success,Warning,Success,266,Cas9
PF3D7_1009000.1,Success,Success,Success,Success,Success,287,Success,Success,Success,Success,Success,143,Cpf1
PF3D7_0930200.1,Success,Success,Success,Success,Success,153,Success,Success,Success,Success,Success,174,Cas9
PF3D7_1009600.1,Success,Success,Success,Success,Success,249,Success,Success,Success,Success,Success,332,Cas9
PF3D7_1300300.1,Success,Success,Success,Success,Success,113,Success,Success,Success,Success,Success,278,Cas9
PF3D7_0905400.1,Success,Success,Success,Success,Success,268,Success,Success,Success,Success,Success,311,Cas9
PF3D7_1346900.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,150,Cpf1
PF3D7_1251000.1,Success,Success,Success,Success,Success,74,Success,Success,Success,Success,Success,138,Cas9
PF3D7_0109950.1,Success,Success,Success,Success,Success,90,Success,Success,Success,Success,Success,119,Cas9
PF3D7_0917400.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,445,Cpf1
PF3D7_1220400.1,Success,Success,Success,Success,Success,220,Warning,Success,Success,Warning,Success,449,Cas9
PF3D7_0218800_p,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_0107000.1,Success,Success,Success,Success,Success,118,Success,Success,Success,Success,Success,119,Cas9
PF3D7_1216800.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,0,Cpf1
PF3D7_1002600.1,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_0517900.1,Success,Success,Success,Success,Success,366,Success,Success,Success,Success,Success,384,Cas9
PF3D7_1018600.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,145,Either
PF3D7_1368200.1,Success,Success,Success,Success,Success,0,Success,Success,Success,Success,Success,191,Cas9
PF3D7_0216300.1,Success,Success,Success,Success,Success,176,Success,Success,Success,Success,Success,482,Cas9
PF3D7_1117200.1,Success,Success,Success,Success,Success,144,Warning,Success,Success,Success,Warning,144,Cas9
PF3D7_1417600.1,Success,Success,Success,Success,Success,170,Success,Success,Success,Success,Success,420,Cas9
PF3D7_1110100.1,Success,Success,Success,Success,Success,216,Success,Success,Success,Success,Success,402,Cas9
PF3D7_1440500.1,Success,Success,Success,Success,Success,147,Success,Success,Success,Success,Success,293,Cas9
PF3D7_1223100.1,Success,Success,Success,Success,Success,225,Success,Success,Success,Success,Success,404,Cas9
PF3D7_0628000.1,Success,Success,Success,Success,Success,386,Success,Success,Success,Success,Success,430,Cas9
PF3D7_1120300.1,Success,Success,Success,Success,Success,141,Success,Success,Success,Success,Success,324,Cas9
PF3D7_0902800.1,Success,Success,Success,Success,Success,305,Success,Success,Success,Success,Success,305,Either
PF3D7_1252400.1,Success,Success,Success,Success,Success,143,Success,Success,Success,Success,Success,143,Either
PF3D7_0516400.1,Warning,Success,Success,Warning,Success,341,Warning,Success,Success,Warning,Success,249,Cpf1
PF3D7_1359500.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,138,Cpf1
PF3D7_1209500.2,Success,Success,Success,Success,Success,368,Success,Success,Success,Success,Success,386,Cas9
PF3D7_1209500.1,Success,Success,Success,Success,Success,368,Success,Success,Success,Success,Success,386,Cas9
PF3D7_0814200.1,Success,Success,Success,Success,Success,133,Success,Success,Success,Success,Success,178,Cas9
PF3D7_0415500.1,Success,Success,Success,Success,Success,129,Success,Success,Success,Success,Success,412,Cas9
PF3D7_1450900.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,411,Cas9
PF3D7_1325000.1,Success,Success,Success,Success,Success,200,Warning,Warning,Success,Warning,Success,231,Cas9
PF3D7_1438600.1,Success,Success,Success,Success,Success,198,Success,Success,Success,Success,Success,236,Cas9
PF3D7_0603600.1,Success,Success,Success,Success,Success,150,Success,Success,Success,Success,Success,127,Cpf1
PF3D7_1422400.1,Warning,Success,Success,Success,Warning,381,Warning,Success,Success,Success,Warning,381,Either
PF3D7_0316300.2,Success,Success,Success,Success,Success,137,Success,Success,Success,Success,Success,356,Cas9
PF3D7_0208400.1,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_0522800.1,Success,Success,Success,Success,Success,58,Success,Success,Success,Success,Success,169,Cas9
PF3D7_0903800.1,Success,Success,Success,Success,Success,311,Success,Success,Success,Success,Success,125,Cpf1
PF3D7_0533100.1,Success,Success,Success,Success,Success,269,Success,Success,Success,Success,Success,433,Cas9
PF3D7_1331000.1,Success,Success,Success,Success,Success,113,Success,Success,Success,Success,Success,144,Cas9
PF3D7_0501900.1,Success,Success,Success,Success,Success,452,Success,Success,Success,Success,Success,452,Either
PF3D7_0301900.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,264,Cpf1
PF3D7_1406000.1,Success,Success,Success,Success,Success,74,Success,Success,Success,Success,Success,74,Either
PF3D7_0631900.1,Success,Success,Success,Success,Success,172,Success,Success,Success,Success,Success,250,Cas9
PF3D7_1104000.1,Success,Success,Success,Success,Success,62,Success,Success,Success,Success,Success,11,Cpf1
PF3D7_0717100.1,Success,Success,Success,Success,Success,69,Success,Success,Success,Success,Success,237,Cas9
PF3D7_1470100.1,Warning,Success,Success,Success,Warning,1,Success,Success,Success,Success,Success,1,Cpf1
malmito_rna_15_,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_0711700.1,Warning,Success,Success,Success,Warning,365,Success,Success,Success,Success,Success,145,Cpf1
PF3D7_0214100.1,Success,Success,Success,Success,Success,0,Success,Success,Success,Success,Success,264,Cas9
PF3D7_1426000.1,Warning,Warning,Success,Success,Success,483,Warning,Success,Success,Warning,Warning,456,Cas9
PF3D7_1478200.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,453,Cas9
PF3D7_0716000.1,Success,Success,Success,Success,Success,0,Success,Success,Success,Success,Success,0,Either
PF3D7_0822900.1,Warning,Success,Success,Success,Warning,370,Success,Success,Success,Success,Success,121,Cpf1
PF3D7_0615000.1,Success,Success,Success,Success,Success,184,Success,Success,Success,Success,Success,409,Cas9
PF3D7_0615500.1,Warning,Success,Success,Success,Warning,210,Success,Success,Success,Success,Success,222,Cpf1
PF3D7_0926900.1,Success,Success,Success,Success,Success,149,Success,Success,Success,Success,Success,244,Cas9
PF3D7_0205900.1,Success,Success,Success,Success,Success,97,Success,Success,Success,Success,Success,131,Cas9
PF3D7_1365200.1,Success,Success,Success,Success,Success,116,Warning,Warning,Success,Success,Success,153,Cas9
PF3D7_1216900.1,Success,Success,Success,Success,Success,254,Success,Success,Success,Success,Success,161,Cpf1
PF3D7_1130300_p,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,97,Cpf1
PF3D7_1027100.1,Success,Success,Success,Success,Success,179,Success,Success,Success,Success,Success,328,Cas9
PF3D7_1405000.1,Warning,Success,Success,Success,Warning,253,Success,Success,Success,Success,Success,231,Cpf1
PF3D7_1323700.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,178,Cas9
PF3D7_0302500.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,412,Cas9
PF3D7_1231000.1,Success,Success,Success,Success,Success,117,Success,Success,Success,Success,Success,151,Cas9
PF3D7_0632500.1,Warning,Success,Success,Success,Warning,471,Success,Success,Success,Success,Success,384,Cpf1
PF3D7_1221800.1,Success,Success,Success,Success,Success,402,Success,Success,Success,Success,Success,402,Either
PF3D7_0400200.1,Warning,Success,Success,Success,Warning,444,Success,Success,Success,Success,Success,413,Cpf1
PF3D7_1414300.1,Success,Success,Success,Success,Success,304,Success,Success,Success,Success,Success,278,Cpf1
PF3D7_0724400.1,Success,Success,Success,Success,Success,87,Success,Success,Success,Success,Success,120,Cas9
PF3D7_1223700.1,Success,Success,Success,Success,Success,137,Success,Success,Success,Success,Success,142,Cas9
PF3D7_1214800.1,Success,Success,Success,Success,Success,178,Success,Success,Success,Success,Success,17,Cpf1
PF3D7_1462100.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,166,Cpf1
PF3D7_1404300.1,Success,Success,Success,Success,Success,271,Success,Success,Success,Success,Success,364,Cas9
PF3D7_1106600.1,Success,Success,Success,Success,Success,163,Success,Success,Success,Success,Success,134,Cpf1
PF3D7_1459500.1,Warning,Success,Success,Success,Warning,119,Success,Success,Success,Success,Success,119,Cpf1
PF3D7_1446200.1,Success,Success,Success,Success,Success,283,Success,Success,Success,Success,Success,430,Cas9
PF3D7_0709200.1,Warning,Success,Success,Warning,Success,445,Warning,Success,Success,Warning,Success,296,Cpf1
PF3D7_0621000.1,Warning,Success,Success,Success,Warning,168,Warning,Success,Success,Success,Warning,493,Cas9
PF3D7_0804500.1,Warning,Success,Success,Success,Warning,143,Success,Success,Success,Success,Success,224,Cpf1
PF3D7_1142800.1,Warning,Success,Success,Warning,Success,123,Warning,Success,Success,Warning,Success,411,Cas9
PF3D7_1238500.1,Success,Success,Success,Success,Success,218,Success,Success,Success,Success,Success,218,Either
PF3D7_1247100.1,Success,Success,Success,Success,Success,259,Success,Success,Success,Success,Success,168,Cpf1
PF3D7_1207800.1,Success,Success,Success,Success,Success,20,Success,Success,Success,Success,Success,385,Cas9
PF3D7_0807400.1,Warning,Success,Success,Success,Warning,198,Success,Success,Success,Success,Success,198,Cpf1
PF3D7_1230200.1,Success,Success,Success,Success,Success,19,Success,Success,Success,Success,Success,19,Either
PF3D7_0522400.1,Success,Success,Success,Success,Success,175,Success,Success,Success,Success,Success,328,Cas9
PF3D7_0302900.1,Success,Success,Success,Success,Success,131,Success,Success,Success,Success,Success,208,Cas9
PF3D7_0921500.1,Warning,Success,Success,Success,Warning,399,Success,Success,Success,Success,Success,399,Cpf1
PF3D7_1304900.1,Success,Success,Success,Success,Success,149,Success,Success,Success,Success,Success,235,Cas9
PF3D7_1216500.1,Warning,Success,Success,Warning,Success,322,Warning,Success,Success,Warning,Success,107,Cpf1
PF3D7_0707700.1,Warning,Success,Warning,Success,Success,5,Warning,Success,Success,Warning,Success,256,Cas9
PF3D7_1345200.1,Success,Success,Success,Success,Success,379,Success,Success,Success,Success,Success,379,Either
PF3D7_1040100.1,Success,Success,Success,Success,Success,287,Success,Success,Success,Success,Success,287,Either
PF3D7_0324500.1,Success,Success,Success,Success,Success,367,Success,Success,Success,Success,Success,298,Cpf1
PF3D7_1112100.1,Warning,Success,Success,Warning,Warning,463,Warning,Success,Success,Warning,Success,120,Cpf1
PF3D7_0206700.1,Warning,Success,Success,Warning,Success,145,Warning,Success,Success,Warning,Success,397,Cas9
PF3D7_1200300.1,Warning,Success,Success,Warning,Success,382,Success,Success,Success,Success,Success,20,Cpf1
PF3D7_1128000.2,Success,Success,Success,Success,Success,136,Success,Success,Success,Success,Success,344,Cas9
PF3D7_1128000.1,Success,Success,Success,Success,Success,136,Success,Success,Success,Success,Success,344,Cas9
PF3D7_0418700.1,Success,Success,Success,Success,Success,285,Success,Success,Success,Success,Success,285,Either
PF3D7_1249800.1,Success,Success,Success,Success,Success,125,Warning,Warning,Warning,Success,Success,349,Cas9
PF3D7_0822500.1,Success,Success,Success,Success,Success,177,Success,Success,Success,Success,Success,177,Either
PF3D7_1328500.1,Warning,Warning,Success,Success,Success,125,Success,Success,Success,Success,Success,492,Cpf1
PF3D7_1020100.1,Success,Success,Success,Success,Success,114,Success,Success,Success,Success,Success,220,Cas9
PF3D7_0824700.1,Success,Success,Success,Success,Success,90,Success,Success,Success,Success,Success,90,Either
PF3D7_1324100.1,Success,Success,Success,Success,Success,262,Warning,Success,Success,Success,Warning,247,Cas9
PF3D7_1014700.1,Success,Success,Success,Success,Success,131,Success,Success,Success,Success,Success,344,Cas9
PF3D7_0808500_p,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_0531500_p,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_1012600.1,Success,Success,Success,Success,Success,357,Success,Success,Success,Success,Success,154,Cpf1
PF3D7_1432100.1,Success,Success,Success,Success,Success,105,Success,Success,Success,Success,Success,105,Either
PF3D7_0609100.1,Success,Success,Success,Success,Success,119,Success,Success,Success,Success,Success,106,Cpf1
PF3D7_0510700.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,319,Cpf1
PF3D7_1017500.1,Success,Success,Success,Success,Success,259,Success,Success,Success,Success,Success,235,Cpf1
PF3D7_0934700.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,265,Cas9
PF3D7_0207500.1,Success,Success,Success,Success,Success,177,Success,Success,Success,Success,Success,341,Cas9
PF3D7_0401600.2,Success,Success,Success,Success,Success,221,Success,Success,Success,Success,Success,339,Cas9
PF3D7_0401600.1,Success,Success,Success,Success,Success,221,Success,Success,Success,Success,Success,339,Cas9
PF3D7_1108000.1,Success,Success,Success,Success,Success,157,Success,Success,Success,Success,Success,157,Either
PF3D7_1429600.1,Success,Success,Success,Success,Success,138,Warning,Success,Success,Warning,Success,179,Cas9
PF3D7_0906400.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,145,Either
PF3D7_0608000.1,Success,Success,Success,Success,Success,195,Success,Success,Success,Success,Success,193,Cpf1
PF3D7_0409100.1,Success,Success,Success,Success,Success,113,Success,Success,Success,Success,Success,319,Cas9
PF3D7_0109850.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,72,Cpf1
PF3D7_0400300.1,Success,Success,Success,Success,Success,333,Success,Success,Success,Success,Success,135,Cpf1
PF3D7_1252800.1,Warning,Success,Success,Success,Warning,175,Success,Success,Success,Success,Success,175,Cpf1
mal_mito_2_mRNA,Success,Success,Success,Success,Success,323,Success,Success,Success,Success,Success,248,Cpf1
PF3D7_1214200.1,Success,Success,Success,Success,Success,143,Success,Success,Success,Success,Success,143,Either
PF3D7_1440100.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,503,Cpf1
PF3D7_1138600.1,Success,Success,Success,Success,Success,110,Success,Success,Success,Success,Success,110,Either
PF3D7_1125300.1,Warning,Success,Success,Warning,Success,119,Success,Success,Success,Success,Success,119,Cpf1
PF3D7_0219900.1,Success,Success,Success,Success,Success,141,Success,Success,Success,Success,Success,395,Cas9
PF3D7_1446700.1,Warning,Success,Success,Success,Warning,297,Warning,Warning,Warning,Success,Success,183,Cas9
PF3D7_1441000.1,Warning,Success,Success,Success,Warning,140,Success,Success,Success,Success,Success,225,Cpf1
PF3D7_0425500.1,Success,Success,Success,Success,Success,341,Success,Success,Success,Success,Success,290,Cpf1
PF3D7_1360900.1,Success,Success,Success,Success,Success,240,Success,Success,Success,Success,Success,264,Cas9
PF3D7_0531100.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,138,Cpf1
PF3D7_0500700.1,Error,-,-,-,Error,0,Warning,Success,Success,Success,Warning,114,Cpf1
PF3D7_0107200.1,Success,Success,Success,Success,Success,82,Success,Success,Success,Success,Success,212,Cas9
PF3D7_0813100.1,Warning,Success,Success,Warning,Success,308,Warning,Success,Success,Warning,Success,291,Cpf1
PF3D7_0104600.1,Warning,Success,Success,Success,Warning,107,Success,Success,Success,Success,Success,197,Cpf1
PF3D7_0412400.1,Success,Success,Success,Success,Success,150,Success,Success,Success,Success,Success,353,Cas9
PF3D7_API05300.,Error,-,-,-,Error,0,Warning,Success,Success,Success,Warning,102,Cpf1
PF3D7_1339900.1,Success,Success,Success,Success,Success,120,Success,Success,Success,Success,Success,368,Cas9
PF3D7_1017900.1,Success,Success,Success,Success,Success,123,Success,Success,Success,Success,Success,239,Cas9
PF3D7_1358700.1,Success,Success,Success,Success,Success,370,Success,Success,Success,Success,Success,425,Cas9
PF3D7_0318100.1,Success,Success,Success,Success,Success,292,Success,Success,Success,Success,Success,296,Cas9
PF3D7_1425800.1,Error,-,-,-,Error,0,Warning,Success,Success,Success,Warning,383,Cpf1
PF3D7_0935600.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,125,Either
PF3D7_1465400.1,Success,Success,Success,Success,Success,187,Success,Success,Success,Success,Success,145,Cpf1
PF3D7_0414200.1,Success,Success,Success,Success,Success,194,Success,Success,Success,Success,Success,112,Cpf1
PF3D7_0601600.1,Warning,Success,Success,Success,Warning,271,Success,Success,Success,Success,Success,404,Cpf1
PF3D7_0508400.1,Warning,Success,Success,Success,Warning,480,Success,Success,Success,Success,Success,204,Cpf1
PF3D7_0905700.3,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_0905700.2,Success,Success,Success,Success,Success,132,Success,Success,Success,Success,Success,132,Either
PF3D7_1010900.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,127,Cpf1
PF3D7_1363500.1,Success,Success,Success,Success,Success,102,Warning,Warning,Warning,Success,Success,108,Cas9
PF3D7_0725800.1,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_1420800.1,Success,Success,Success,Success,Success,310,Error,-,-,-,Error,0,Cas9
PF3D7_0702200.1,Success,Success,Success,Success,Success,122,Success,Success,Success,Success,Success,116,Cpf1
PF3D7_0609000.1,Success,Success,Success,Success,Success,161,Success,Success,Success,Success,Success,161,Either
PF3D7_1134300.1,Error,-,-,-,Error,0,Warning,Success,Success,Success,Warning,509,Cpf1
PF3D7_0713800.1,Warning,Success,Success,Success,Warning,125,Success,Success,Success,Success,Success,33,Cpf1
PF3D7_1474200.1,Success,Success,Success,Success,Success,311,Success,Success,Success,Success,Success,341,Cas9
PF3D7_0114500.1,Warning,Success,Success,Success,Warning,182,Success,Success,Success,Success,Success,261,Cpf1
PF3D7_1003000.1,Success,Success,Success,Success,Success,236,Warning,Success,Success,Success,Warning,500,Cas9
PF3D7_0416900.1,Success,Success,Success,Success,Success,216,Success,Success,Success,Success,Success,54,Cpf1
PF3D7_0913600.1,Warning,Success,Success,Success,Warning,158,Warning,Success,Success,Success,Warning,540,Cas9
PF3D7_1219200.1,Warning,Success,Success,Success,Warning,142,Warning,Success,Success,Success,Warning,142,Either
PF3D7_1242100.1,Warning,Success,Success,Success,Warning,152,Warning,Success,Success,Success,Warning,204,Cas9
PF3D7_0111000.1,Success,Success,Success,Success,Success,165,Warning,Success,Warning,Success,Success,3,Cas9
PF3D7_0915000.1,Warning,Success,Success,Warning,Success,141,Warning,Success,Success,Warning,Success,424,Cas9
PF3D7_0506100.1,Success,Success,Success,Success,Success,84,Success,Success,Success,Success,Success,42,Cpf1
PF3D7_1318600.1,Success,Success,Success,Success,Success,181,Success,Success,Success,Success,Success,354,Cas9
PF3D7_0603000.1,Warning,Success,Success,Success,Warning,218,Success,Success,Success,Success,Success,227,Cpf1
PF3D7_0632100.1,Warning,Success,Success,Warning,Success,304,Success,Success,Success,Success,Success,145,Cpf1
PF3D7_0611500.1,Success,Success,Success,Success,Success,117,Success,Success,Success,Success,Success,117,Either
PF3D7_1319600.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,243,Cas9
PF3D7_1456300.1,Warning,Success,Success,Success,Warning,142,Success,Success,Success,Success,Success,339,Cpf1
PF3D7_0619200.1,Success,Success,Success,Success,Success,330,Success,Success,Success,Success,Success,329,Cpf1
PF3D7_1028700.1,Success,Success,Success,Success,Success,20,Success,Success,Success,Success,Success,225,Cas9
PF3D7_0525600.1,Success,Success,Success,Success,Success,246,Success,Success,Success,Success,Success,110,Cpf1
PF3D7_1143400.1,Success,Success,Success,Success,Success,194,Success,Success,Success,Success,Success,194,Either
PF3D7_0425400.1,Success,Success,Success,Success,Success,396,Success,Success,Success,Success,Success,396,Either
PF3D7_0621500.1,Success,Success,Success,Success,Success,389,Success,Success,Success,Success,Success,242,Cpf1
PF3D7_0531000.1,Success,Success,Success,Success,Success,340,Success,Success,Success,Success,Success,462,Cas9
PF3D7_1132000.1,Success,Success,Success,Success,Success,344,Success,Success,Success,Success,Success,142,Cpf1
PF3D7_1249500.1,Warning,Warning,Success,Success,Success,69,Success,Success,Success,Success,Success,43,Cpf1
PF3D7_1363400.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,200,Cas9
PF3D7_1435600.1,Warning,Success,Success,Success,Warning,364,Success,Success,Success,Success,Success,282,Cpf1
PF3D7_1110500.1,Success,Success,Success,Success,Success,0,Success,Success,Success,Success,Success,158,Cas9
PF3D7_0709600.1,Success,Success,Success,Success,Success,79,Success,Success,Success,Success,Success,57,Cpf1
PF3D7_1230700.1,Success,Success,Success,Success,Success,175,Success,Success,Success,Success,Success,222,Cas9
PF3D7_0723400.1,Success,Success,Success,Success,Success,146,Success,Success,Success,Success,Success,146,Either
PF3D7_1464400.1,Success,Success,Success,Success,Success,33,Success,Success,Success,Success,Success,33,Either
PF3D7_0412600.1,Warning,Success,Success,Success,Warning,492,Success,Success,Success,Success,Success,249,Cpf1
PF3D7_0919500.1,Success,Success,Success,Success,Success,420,Success,Success,Success,Success,Success,263,Cpf1
PF3D7_1251600.1,Warning,Success,Success,Success,Warning,112,Warning,Success,Success,Warning,Success,112,Either
PF3D7_1460600.1,Success,Success,Success,Success,Success,134,Success,Success,Success,Success,Success,292,Cas9
PF3D7_0520400.1,Success,Success,Success,Success,Success,223,Success,Success,Success,Success,Success,223,Either
PF3D7_0521700.1,Success,Success,Success,Success,Success,241,Success,Success,Success,Success,Success,280,Cas9
PF3D7_1233900.1,Warning,Warning,Success,Success,Success,159,Success,Success,Success,Success,Success,127,Cpf1
PF3D7_0515300.1,Success,Success,Success,Success,Success,193,Success,Success,Success,Success,Success,170,Cpf1
PF3D7_1342400.1,Success,Success,Success,Success,Success,140,Success,Success,Success,Success,Success,337,Cas9
PF3D7_1111800.1,Success,Success,Success,Success,Success,460,Success,Success,Success,Success,Success,473,Cas9
PF3D7_1373200.1,Warning,Warning,Success,Success,Warning,210,Warning,Warning,Success,Success,Success,210,Cpf1
PF3D7_1232800.1,Success,Success,Success,Success,Success,86,Warning,Success,Success,Success,Warning,370,Cas9
PF3D7_1106100.1,Success,Success,Success,Success,Success,291,Success,Success,Success,Success,Success,273,Cpf1
PF3D7_1006200.1,Warning,Success,Success,Warning,Success,212,Warning,Success,Success,Warning,Success,157,Cpf1
PF3D7_1463000.1,Warning,Success,Success,Success,Warning,458,Warning,Success,Success,Success,Warning,458,Either
PF3D7_1331400.1,Success,Success,Success,Success,Success,145,Success,Success,Success,Success,Success,184,Cas9
